"name","registered","times_kicked","geolocation","nb_player_kills","nb_mob_kills","nb_deaths","avg_ping","nb_sessions","longest_session","avg_session","active_playtime","afk_time","favorite_world"
"BaSsilA","1709764868898","5","France","6","279","44",NULL,"75","18357953","2297732.5733","163729562","8600381","goatvivor"
"Nelnaa","1709926823760","0","France","3","5","16",NULL,"21","10941219","2689439.4762","54279209","2199020","S19 - Alunnius"
"Shounay","1676729134632","0","France","0","0","2",NULL,"13","8104784","1636761.3077","20157831","1120066","S17 - Parrot's Kingdom"
"Fourios","1710025064613","0","France","0","5","16",NULL,"26","10586855","1781430.5769","43431592","2885603","S19 - Alunnius"
"Aphtrack","1710184570962","0","France","18","15","95",NULL,"80","13272853","2050780.0625","164062405","0","S18 - Alien Planet"
"Soulivan71","1710351478837","0","France","0","0","1",NULL,"16","5870882","924495.9375","14609636","182299","BuildSurvisland"
"Ender_oO","1506263173723","4","France","52","200","124","29.78787878787879","278","17371807","2261034.8777","567813631","60754065","goatvivor"
"beXnope","1710441251636","3","France","5","376","35",NULL,"81","13534238","1736769.9877","137417312","3261057","S17 - Parrot's Kingdom"
"Comte_L","1677958530280","0","Switzerland","0","126","9","48.14119922630561","36","10162409","1275583.5278","43787998","2133009","GLD_JN_S10"
"cozotidg","1710532669347","1","France","52","133","81","28.22911051212938","71","18026831","1183437.7324","78735383","5288696","LKS_Bancal_S13"
"Juliespl","1710701595077","4","France","74","308","257","417.6842105263158","198","13264901","1342132.4596","248758465","16983762","Bancalvivor_S3"
"BoursinLeFromage","1710704095264","2","France","47","75","134",NULL,"59","13382817","2593696.3898","146055919","6972168","S18 - Alien Planet"
"Eastwim","1680287898385","2","France","153","362","123",NULL,"62","13218563","2010201.2903","123197239","1435241","S18 - Alien Planet"
"Skykryx","1711224571361","5","France","158","48","262","35.826401446654614","217","23939588","1790091.8848","319360772","69089167","BuildSurvisland"
"_Jeffy","1711392003951","3","France","1","179","32",NULL,"44","13927596","2978016.7273","128695461","2337275","S17 - Parrot's Kingdom"
"Abraxxan","1711566223781","0","France","61","11","12",NULL,"75","12415674","1747708.9333","120487728","10590442","S18 - Alien Planet"
"Xxara","1711568042414","1","France","56","613","88",NULL,"227","13378838","1762146.9163","339764719","60242631","S18 - Alien Planet"
"Phylalix_","1711732109193","0","France","11","251","22",NULL,"22","4322148","836903.9545","18097776","314111","RDM_RD"
"Matasalivo","1712256517290","5","France","100","399","309","92.6","123","14385968","2140947.7073","240898870","22437698","S17 - Parrot's Kingdom"
"TheAlphaX","1712429086731","7","France","20","143","92","71.65760322255791","105","12418168","1696148.9714","167074169","11021473","S22 - Prehistoric Canyon"
"Aqua2b","1713014692651","1","France","0","0","0",NULL,"8","8822775","1508326.1250","12066609","0","FUZ_Bancalvivor"
"VinzMioda","1612641350973","4","France","86","160","73","98.1574074074074","55","13943185","2442424.8182","124360908","9972457","S14 - Phain"
"AdraiK","1677356788727","0","France","15","46","30",NULL,"62","15929755","2373251.0000","143928812","3212750","S20 - Jewel"
"Dark_Ail","1684608569346","0","The Netherlands","5","55","17",NULL,"13","8063716","1549236.3077","19590630","549442","RDM_BHC_240927"
"Feynoox_","1678476766474","0","France","0","0","1",NULL,"9","1581252","401894.2222","3154365","462683","LYK_Bancalvivor_S10"
"TomSawyerWolf","1714915779415","1","France","1","11","11",NULL,"73","15624477","2237730.9315","161151409","2202949","S20 - Jewel"
"Dari76","1687111116772","0","France","0","1","1",NULL,"15","6023378","1744382.4667","23567461","2598276","S18 - Alien Planet"
"Pouka","1714916226015","0","France","0","0","2",NULL,"8","5354092","1527200.3750","11504532","713071","S14 - Phain"
"Lenya__","1676730714033","4","France","0","22","3","194.1578947368421","28","12691897","1927933.3214","52728147","1253986","LYK_Bancalvivor_S10"
"Kadxx","1717349338627","5","France","40","39","162","64.3239573229874","83","13117818","2199283.6506","170412353","12128190","S22 - Prehistoric Canyon"
"BlarzuFrite","1717788310264","1","Luxembourg","12","106","75",NULL,"45","14578627","3248542.7778","136084115","10100310","S14 - Phain"
"AlessLeRat","1717854566550","1","France","88","120","180","35.75314861460957","71","13283765","2784070.9577","181866912","15802126","LKS_Bancal_S13"
"GregersenGOAT","1718818694159","2","France","0","0","2",NULL,"13","174262","61436.5385","798675","0","LobbySurvisland"
"Elmat26","1719345793049","1","France","0","0","0",NULL,"4","21350","15979.2500","63917","0","LobbySurvisland"
"GoldVision98","1720272373740","0","Local Machine","0","0","0",NULL,"1","13","13.0000","13","0","DRRP1"
"Tnt_79","1720272380975","0","Local Machine","0","0","0",NULL,"1","1","1.0000","1","0","DRRP1"
"math730","1720272413924","0","Local Machine","0","0","0",NULL,"2","0","0.0000","0","0","DRRP1"
"Stoupy51","1720272477903","0","Local Machine","0","0","0",NULL,"1","15","15.0000","15","0","DRRP1"
"Will_Boss_Gamer","1676731812732","0","France","14","18","5",NULL,"19","12390426","3275605.3684","58169568","4066934","S20 - Jewel"
"Lidqil","1684609273946","0","France","0","1","0",NULL,"19","10839753","1559537.5263","29388289","242924","S20 - Jewel"
"6Kyurea","1721337661692","2","France","3","11","37",NULL,"77","13870555","2530123.8052","191491485","3328048","S19 - Alunnius"
"PrincesseLucie","1721405308949","0","Switzerland","0","0","0",NULL,"3","1395018","505818.6667","1517456","0","S19 - Alunnius"
"Cacedoupamso","1721570643013","0","Belgium","0","0","0",NULL,"2","1921333","967061.0000","1934122","0","S19 - Alunnius"
"MissFlamme","1721588573225","0","France","0","0","0",NULL,"2","1414734","741088.0000","1259637","222539","S19 - Alunnius"
"Marimiss","1676730628232","0","Canada","0","8","10",NULL,"60","15847414","2184567.3000","121174629","9899409","S20 - Jewel"
"Maxhihih","1721675212536","1","France","0","9","9",NULL,"27","11537328","2727318.2222","69994940","3642652","S19 - Alunnius"
"cosmos76","1722006152309","24","France","0","3","13",NULL,"141","12088092","586087.2270","73807044","8831255","S19 - Alunnius"
"Yousat_","1722010101215","5","France","2","70","17","201.23809523809524","59","13823337","3051764.9322","177631585","2422546","S19 - Alunnius"
"YoyiOctaupe","1722082510581","2","France","3","17","68",NULL,"63","13368248","2260755.6190","139077348","3350256","S19 - Alunnius"
"PierreCHT","1700259879960","1","France","0","2","3",NULL,"4","1060721","377493.7500","1509975","0","Switch"
"__Arm","1722185310388","0","France","0","0","0",NULL,"2","18273","11942.0000","23884","0","Switch"
"Fashion_Rkt","1722268970469","41","France","193","1202","302","35.872453703703705","911","20099265","1748653.9473","1448663966","144359780","BuildSurvisland"
"Baal__","1722616456920","0","France","0","0","0",NULL,"8","4881169","1468328.1250","11458653","287972","S19 - Alunnius"
"Willister_","1722781352917","13","Canada","34","11","56","603.1024590163935","119","13281086","1993162.2101","220139819","17046484","S19 - Alunnius"
"ChatMalin","1722958027056","0","France","1","6","28",NULL,"56","13278401","3036149.7500","164920684","5103702","S19 - Alunnius"
"goss772","1723385465945","0",NULL,"0","0","1",NULL,"1","937221","937221.0000","937221","0","RLCIsland"
"Saullltt","1723563020622","0","France","0","0","0",NULL,"20","12788299","1349208.0500","26651056","333105","LYK_Bancalvivor_S6"
"Drex108662","1723645578507","2","France","0","0","0",NULL,"5","89541","38920.8000","194604","0","LobbySurvisland"
"Luxsmo","1723659059225","0","France","26","19","87","32.18807339449541","122","17076871","2852370.5820","317132653","30856558","LYK_Bancalvivor_S10"
"bordelasmetak","1723719034767","0","France","0","0","0",NULL,"1","148630","148630.0000","148630","0","LobbySurvisland"
"ElPina_","1723918901222","1","Canada","2","38","21",NULL,"34","13324292","2753576.4706","85318011","8303589","LYK_Bancalvivor_S6"
"Rokoul","1724594110385","0","France","5","0","12",NULL,"6","4098801","1054668.8333","5778352","549661","BuildSurvisland"
"Sfqkeur_","1724868666673","7","France","0","0","2",NULL,"27","4868289","886056.7778","21347731","2575802","S19 - Alunnius"
"Senju_38","1725232612495","0","France","0","0","0",NULL,"2","1747342","895855.0000","1791710","0","BuildSurvisland"
"_Asarck","1725298470226","1","France","3","9","8",NULL,"39","9426623","1346874.8205","51890561","637557","S19 - Alunnius"
"MelLey5","1725561197103","7","France","34","21","211","165.39336492890996","137","13223120","1335489.3577","131627511","51334531","S22 - Prehistoric Canyon"
"Mr_Raichu","1725718312881","0","Canada","0","0","0",NULL,"4","1230664","442208.2500","1563432","205401","S19 - Alunnius"
"San_Mononoke","1681498990228","0","Switzerland","1","3","6",NULL,"14","10616079","2386833.2143","33229422","186243","S20 - Jewel"
"GambinoJetski","1725800459117","0","France","49","45","25",NULL,"23","13920832","3158815.8696","67158704","5494061","S20 - Jewel"
"Ikinox_51","1690724680780","0","Lithuania","0","0","8",NULL,"2","2782804","1421937.5000","2660827","183048","Switch"
"_ManicBunny","1726272566881","0","France","1","0","18",NULL,"12","3344163","515515.9167","5909896","276295","LobbySurvisland"
"Sertoox","1681498913378","5","France","4","28","1","42.783018867924525","7","8377134","2165989.8571","14963920","198009","LYK_Bancalvivor_S6"
"Lovmyy","1728156719617","1","France","14","8","102","469.84615384615387","5","12480943","2750690.4000","13564897","188555","Switch_switch_game"
"Mamaboyyy","1728158071964","0","France","58","1","101",NULL,"4","12718126","4074622.7500","16057591","240900","Switch_switch_game"
"EvoRay25","1728930496229","0","France","24","103","70","24.001650165016503","111","24098685","1839274.0811","148861057","55298366","DRRPLongue"
"Rizio_","1681046923881","0","France","0","0","0",NULL,"2","3281054","2579470.0000","4926988","231952","LYK_Bancalvivor_S10"
"EhFiredo","1686496283349","5","France","31","41","66","54.580827067669176","58","11595365","2169997.1034","117783590","8076242","S22 - Prehistoric Canyon"
"MrDraaak","1729458322535","0","France","0",NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"GoogleComThings","1729556620887","0","United States","0",NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
"Renard_BE","1729776131609","0","Belgium","1","1","0",NULL,"2","11687205","6077515.0000","12155030","0","FUZ_Bancalvivor"
"Ecayon","1682708614388","0","France","0","0","0",NULL,"1","16486","16486.0000","16486","0","LobbySurvisland"
"theogiraudet","1730049533400","0","France","4","0","1",NULL,"1","1749516","1749516.0000","1749516","0","Switch_switch_game"
"Layms","1730049768324","0","France","0","0","3",NULL,"2","1515323","820955.0000","1641910","0","Switch_switch_game"
"e_psi_lon","1682945813547","0","France","0","0","4",NULL,"3","1490877","578888.0000","1736664","0","Switch_switch_game"
"Mme_Duval","1730577823568","0","France","0","0","3",NULL,"10","11852174","3183004.5000","29707218","2122827","DRRPLongue"
"ixiondata974","1730578474060","0","France","0",NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL
